Nom court de l'emplacement* (e.ref);Description entrepôt (e.description);Lieu entrepôt (e.lieu);Adresse (e.address);Code postal (e.zip);Code État / Province (e.fk_departement);Code pays (e.fk_pays);Téléphone (e.phone);Fax (e.fax);État (e.statut);Entrepôt parent (e.fk_parent)
SEC-1A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3E3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6E3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3E3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6E3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3E3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6E3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3E3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6E3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3E3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6E3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3E3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4A1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5B2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6C3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1D1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2E2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3A3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4B1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5C2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6D3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-1E1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-2A2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-3B3;Stock sec ;;;;;;;;1;ENT-SEC
SEC-4C1;Stock sec ;;;;;;;;1;ENT-SEC
SEC-5D2;Stock sec ;;;;;;;;1;ENT-SEC
SEC-6E3;Stock sec ;;;;;;;;1;ENT-SEC
